duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
387,1_to_2,Children Services,28.919904,2,M,HISPA,U,I,.under_29,.under_29,Staff,0.0028741705426356544,387.0,wop6wqTCm8KDwqI=,V Termination
193,.under_1,Children Services,16.0326,2,F,,U,A,.under_29,.under_29,Staff,0.005350259067357505,184.0,wop6wqTCm8KDwp4=,V Termination
64,.under_1,Administrative Services,34.17,1,M,WHITE,U,D,50_to_54,50_to_54,Staff,0.0,64.0,wop6wqTCmcKJwqM=,V Termination
433,1_to_2,Children Services,28.919904,2,M,BLACK,U,I,55_to_59,55_to_59,Staff,0.002568831408775977,433.0,wop6wqTCmcKJwqE=,V Termination
121,.under_1,Children Services,16.2583,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,121.0,wop6wqTCmcKIwqU=,IV Termination
211,.under_1,Self Sufficiency,16.0067,2,F,HISPA,U,F,.under_29,.under_29,Staff,0.009510426540284354,1.0,wop6wqTCmcKGwqY=,V Termination
2,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,2.0,wop6wqTCmMKEwqE=,V Termination
240,.under_1,Children Services,35.1855,1,F,HISPA,U,G,40_to_44,40_to_44,Staff,0.0,240.0,wop6wqTCl8KMwp8=,V Termination
359,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,359.0,wop6wqTCl8KLwqU=,IV Termination
399,1_to_2,Self Sufficiency,17.562552,1,F,HISPA,U,G,.under_29,.under_29,Staff,0.0,399.0,wop6wqTCl8KKwqA=,V Termination
284,.under_1,Other,20.7392,3,,NSPEC,,,,,Staff,0.016663732394366203,120.0,wop6wqTCl8KKwp4=,IV Termination
235,.under_1,Self Sufficiency,16.887069,1,F,HISPA,U,C,30_to_34,30_to_34,Staff,0.0,235.0,wop6wqTCl8KJwqM=,V Termination
171,.under_1,Self Sufficiency,16.887069,1,M,HISPA,U,F,35_to_39,30_to_34,Staff,0.0,171.0,wop6wqTCl8KJwqA=,V Termination
52,.under_1,Self Sufficiency,16.0067,1,F,WHITE,U,G,30_to_34,30_to_34,Staff,0.0,52.0,wop6wqTCl8KJwp8=,V Termination
